Home Score,Category,Away Score
62,Field Goals Attempted,60
27,Field Goals Made,28
43.5%,Field Goals %,46.7%
39,2-Point Field G. Attempted,32
18,2-Point Field Goals Made,19
46.2%,2-Point Field Goals %,59.4%
23,3-Point Field G. Attempted,28
9,3-Point Field Goals Made,9
39.1%,3-Point Field Goals %,32.1%
31,Free Throws Attempted,18
22,Free Throws Made,15
71%,Free Throws %,83.3%
16,Offensive Rebounds,8
25,Defensive Rebounds,22
41,Total Rebounds,30
20,Assists,17
5,Blocks,5
13,Turnovers,15
5,Steals,3
20,Personal Fouls,25
