Home Score,Category,Away Score
61,Field Goals Attempted,58
32,Field Goals Made,28
52.5%,Field Goals %,48.3%
37,2-Point Field G. Attempted,36
23,2-Point Field Goals Made,21
62.2%,2-Point Field Goals %,58.3%
24,3-Point Field G. Attempted,22
9,3-Point Field Goals Made,7
37.5%,3-Point Field Goals %,31.8%
35,Free Throws Attempted,19
25,Free Throws Made,16
71.4%,Free Throws %,84.2%
11,Offensive Rebounds,2
24,Defensive Rebounds,21
35,Total Rebounds,23
24,Assists,19
2,Blocks,3
14,Turnovers,15
7,Steals,11
20,Personal Fouls,28
