Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Kravic D.,ZAR,22,8,1,23:44,9,13,9,13,-,-,4,7,24,5,3,-,1,1,-,-,-
Scrubb T.,OBR,17,1,1,30:20,6,9,5,6,1,3,4,4,-23,-,1,3,1,2,-,-,-
Blazevic M.,OBR,14,5,1,19:29,5,7,5,6,-,1,4,6,-12,1,4,4,-,1,1,1,-
Bell-Haynes T.,ZAR,13,3,7,23:43,4,5,2,3,2,2,3,5,8,-,3,2,1,4,-,-,-
McFadden T.,ZAR,13,2,2,16:08,3,7,-,-,3,7,4,4,6,-,2,2,-,-,-,-,-
Mendoza R.,OBR,11,1,4,32:25,5,9,4,6,1,3,-,-,-9,-,1,4,2,4,2,-,-
Smith M.,ZAR,11,4,1,22:24,4,9,4,5,-,4,3,3,10,1,3,1,1,3,-,1,-
Timma J.,OBR,11,5,4,28:56,4,9,1,1,3,8,-,-,-21,-,5,4,4,2,-,-,-
Watt M.,ZAR,11,2,2,16:16,5,8,5,8,-,-,1,2,-5,-,2,3,-,-,1,-,-
Pustovyi A.,OBR,9,5,1,27:48,3,5,3,5,-,-,3,3,-5,1,4,3,1,1,-,1,-
Yusta S.,ZAR,9,2,3,24:36,3,8,2,3,1,5,2,3,23,1,1,2,1,3,-,-,-
Sulejmanovic E.,ZAR,8,7,3,24:00,2,5,1,3,1,2,3,5,26,2,5,3,2,2,1,-,-
Howard J.,OBR,7,2,1,17:15,1,6,1,4,-,2,5,6,-6,-,2,1,-,-,-,-,-
Gonzalez M.,ZAR,6,2,1,16:52,2,3,-,1,2,2,-,-,-1,-,2,2,-,1,-,1,-
Delany F.,ZAR,5,2,1,16:00,-,3,-,1,-,2,5,6,-7,-,2,1,1,-,-,-,-
Dotson D.,OBR,5,-,3,18:08,2,4,1,2,1,2,-,-,-7,-,-,5,2,4,-,-,-
Strelnieks J.,OBR,3,1,2,15:55,1,5,-,2,1,3,-,-,-18,-,1,2,-,1,-,-,-
Suarez A.,OBR,2,-,-,03:47,1,1,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-
Adronikashvili R.,ZAR,-,-,2,04:21,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Cuevas D.,ZAR,-,-,1,11:56,-,-,-,-,-,-,-,-,13,-,-,4,-,-,-,-,-
Figueras P.,OBR,-,1,2,05:57,-,3,-,3,-,-,-,-,6,-,1,1,1,-,-,-,-
