Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Ennis D.,MUR,12,5,2,23:18,4,10,1,5,3,5,1,2,3,1,4,1,3,2,-,-,-
Jelinek D.,MUR,11,3,2,15:57,3,8,-,2,3,6,2,2,1,-,3,3,-,2,-,1,-
McLemore B.,BRE,11,2,1,22:03,4,12,3,7,1,5,2,3,-12,-,2,3,1,4,-,-,-
Robinson J.,BRE,11,4,6,26:44,4,9,4,6,-,3,3,4,2,1,3,-,3,3,-,2,-
Radovic N.,MUR,10,4,-,22:15,4,11,4,8,-,3,2,4,-,1,3,1,1,2,-,-,-
Sleva D.,MUR,10,4,2,23:45,4,7,4,6,-,1,2,2,5,3,1,2,3,2,-,1,-
Jogela M.,BRE,9,8,1,23:54,4,6,3,3,1,3,-,-,-6,-,8,2,-,1,1,-,-
Sakho J.,BRE,9,4,-,23:40,4,6,3,4,1,2,-,-,-7,2,2,2,-,4,2,-,-
Hakanson L.,MUR,8,2,2,22:12,3,7,1,2,2,5,-,-,-,1,1,1,1,2,-,-,-
Polite A.,BRE,7,-,1,17:47,2,3,-,1,2,2,1,2,5,-,-,3,1,1,-,-,-
Caupain T.,MUR,6,2,3,17:45,2,7,-,1,2,6,-,-,7,-,2,1,1,2,-,-,-
Garcia S.,BRE,5,5,2,18:25,1,3,-,-,1,3,2,2,-5,-,5,2,-,2,-,-,-
Diagne M.,MUR,4,5,-,20:05,2,4,2,4,-,-,-,-,11,1,4,5,1,1,-,-,-
Fernandez J.,BRE,4,3,-,17:35,2,3,2,3,-,-,-,1,-,-,3,1,-,2,-,-,-
Diouf M.,BRE,3,1,-,03:45,1,3,1,2,-,1,1,2,-1,1,-,1,-,-,-,-,-
Kurucs A.,MUR,3,-,2,19:10,1,3,-,-,1,3,-,-,2,-,-,2,-,-,-,-,-
Flores F.,MUR,2,5,-,13:55,1,2,1,2,-,-,-,-,-2,-,5,1,1,-,1,-,-
Quintela E.,BRE,2,-,-,03:57,1,2,1,2,-,-,-,-,-1,-,-,3,-,1,-,-,-
Radebaugh J.,MUR,2,2,1,21:35,1,7,1,2,-,5,-,-,8,-,2,1,1,1,1,1,-
Falk W.,MUR,-,-,-,00:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nakic T.,BRE,-,2,1,24:07,-,4,-,1,-,3,-,-,-11,-,2,1,1,1,-,-,-
Quintela S.,BRE,-,3,-,18:03,-,6,-,5,-,1,-,-,1,1,2,1,1,1,-,-,-
