Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Van Der Vuurst K.,PAL,22,4,5,29:09,8,13,5,8,3,5,3,3,-5,-,4,2,1,2,-,-,-
Sant-Roos H.,MUR,19,1,4,23:56,4,7,1,2,3,5,8,8,13,-,1,1,2,2,-,-,-
Pasecniks A.,PAL,18,5,5,31:51,7,9,7,9,-,-,4,7,-7,2,3,4,1,3,-,-,-
Radovic N.,MUR,18,5,1,18:04,5,7,5,6,-,1,8,8,6,3,2,3,-,2,-,-,-
Ennis D.,MUR,12,2,3,23:06,3,6,2,3,1,3,5,5,10,1,1,3,2,-,-,-,-
Hands J.,PAL,12,1,2,25:31,5,12,4,7,1,5,1,2,-3,-,1,2,-,-,-,-,-
Radebaugh J.,MUR,11,7,2,25:14,4,7,4,5,-,2,3,3,10,3,4,3,1,-,1,-,-
Ortega C.,PAL,10,3,-,26:46,4,5,4,4,-,1,2,2,2,-,3,2,2,-,-,-,-
Frankamp C.,PAL,8,1,2,16:06,3,6,2,3,1,3,1,1,-9,1,-,4,-,1,-,-,-
Kurucs R.,MUR,8,2,3,17:50,3,7,2,2,1,5,1,1,4,-,2,5,1,2,-,-,-
Birgander S.,MUR,7,1,-,09:16,3,3,3,3,-,-,1,2,2,1,-,1,-,1,-,-,-
Caupain T.,MUR,6,2,3,21:40,2,6,-,-,2,6,-,-,5,-,2,-,-,1,-,-,-
Kamba M.,PAL,4,3,1,27:57,2,6,2,3,-,3,-,-,-18,2,1,2,-,1,-,-,-
Sleva D.,MUR,4,8,1,21:56,2,9,2,6,-,3,-,-,7,2,6,2,-,-,-,-,-
Benite V.,PAL,3,1,-,10:26,1,10,-,7,1,3,-,-,-12,-,1,3,1,1,-,1,-
Todorovic M.,MUR,3,2,3,24:32,1,6,-,-,1,6,-,-,10,-,2,3,-,2,-,-,-
Diagne M.,MUR,2,5,-,06:12,1,2,1,2,-,-,-,-,1,1,4,-,-,-,-,-,-
Haarms M.,PAL,-,4,-,07:10,-,2,-,2,-,-,-,-,-1,2,2,-,-,-,-,-,-
Jelinek D.,MUR,-,-,-,02:57,-,1,-,-,-,1,-,-,2,-,-,1,-,-,-,-,-
Kurucs A.,MUR,-,2,-,05:17,-,1,-,-,-,1,-,-,-5,1,1,1,-,-,-,-,-
Pineiro I.,PAL,-,2,1,13:38,-,4,-,4,-,-,-,-,-2,2,-,4,1,1,-,-,-
Ubal A.,PAL,-,-,-,11:26,-,1,-,-,-,1,-,-,-10,-,-,1,1,-,-,-,-
