Home Score,Category,Away Score
59,Field Goals Attempted,59
26,Field Goals Made,30
44.1%,Field Goals %,50.8%
40,2-Point Field G. Attempted,34
19,2-Point Field Goals Made,20
47.5%,2-Point Field Goals %,58.8%
19,3-Point Field G. Attempted,25
7,3-Point Field Goals Made,10
36.8%,3-Point Field Goals %,40%
26,Free Throws Attempted,17
18,Free Throws Made,14
69.2%,Free Throws %,82.4%
12,Offensive Rebounds,10
19,Defensive Rebounds,24
31,Total Rebounds,34
16,Assists,17
1,Blocks,0
16,Turnovers,18
7,Steals,9
22,Personal Fouls,22
