Home Score,Category,Away Score
54,Field Goals Attempted,71
31,Field Goals Made,30
57.4%,Field Goals %,42.3%
28,2-Point Field G. Attempted,39
20,2-Point Field Goals Made,20
71.4%,2-Point Field Goals %,51.3%
26,3-Point Field G. Attempted,32
11,3-Point Field Goals Made,10
42.3%,3-Point Field Goals %,31.3%
22,Free Throws Attempted,12
21,Free Throws Made,10
95.5%,Free Throws %,83.3%
3,Offensive Rebounds,12
30,Defensive Rebounds,17
33,Total Rebounds,29
23,Assists,23
7,Blocks,2
14,Turnovers,9
5,Steals,9
17,Personal Fouls,19
