Home Score,Category,Away Score
54,Field Goals Attempted,74
27,Field Goals Made,28
50%,Field Goals %,37.8%
39,2-Point Field G. Attempted,35
18,2-Point Field Goals Made,16
46.2%,2-Point Field Goals %,45.7%
15,3-Point Field G. Attempted,39
9,3-Point Field Goals Made,12
60%,3-Point Field Goals %,30.8%
48,Free Throws Attempted,17
27,Free Throws Made,12
56.3%,Free Throws %,70.6%
13,Offensive Rebounds,12
33,Defensive Rebounds,23
46,Total Rebounds,35
18,Assists,18
3,Blocks,1
18,Turnovers,14
8,Steals,11
19,Personal Fouls,36
