Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Yusta S.,ZAR,18,4,2,25:17,5,10,3,6,2,4,6,10,11,-,4,2,1,3,-,-,-
Watt M.,ZAR,16,8,1,26:19,6,13,6,13,-,-,4,9,10,3,5,1,-,2,2,-,-
Bell-Haynes T.,ZAR,15,3,9,29:15,4,6,3,4,1,2,6,7,8,-,3,3,1,4,-,-,-
Badio B.,MAN,14,2,-,25:44,5,12,3,8,2,4,2,2,-2,1,1,4,1,1,-,-,-
Garcia D.,MAN,14,1,4,23:04,5,9,1,1,4,8,-,-,3,-,1,2,1,1,-,-,-
Steinbergs M.,MAN,11,1,-,22:03,4,10,1,1,3,9,-,-,-6,-,1,2,-,-,1,-,-
Sulejmanovic E.,ZAR,11,10,1,20:38,4,7,3,6,1,1,2,3,11,4,6,2,2,-,1,-,-
Geben M.,MAN,9,5,1,19:26,4,7,3,5,1,2,-,2,-8,2,3,2,-,1,-,1,-
Smith M.,ZAR,9,2,1,25:53,4,7,3,6,1,1,-,2,8,-,2,4,-,2,-,-,-
Taylor B.,MAN,9,2,4,17:53,2,8,1,2,1,6,4,5,2,-,2,1,1,2,-,-,-
Robinson D.,MAN,7,3,-,13:31,3,9,3,7,-,2,1,2,-6,-,3,5,-,3,-,1,-
Gonzalez M.,ZAR,6,4,1,21:04,2,5,-,1,2,4,-,2,2,1,3,1,2,2,-,-,-
McFadden T.,ZAR,6,1,1,07:44,1,1,-,-,1,1,3,3,-1,-,1,1,-,-,-,-,-
Vaulet J.,MAN,6,3,1,16:46,2,5,2,4,-,1,2,2,-9,1,2,2,-,-,-,-,-
Williams T.,MAN,4,2,1,15:16,1,2,1,1,-,1,2,2,-5,1,1,5,3,1,-,-,-
Cuevas D.,ZAR,3,-,1,10:45,1,2,-,-,1,2,-,-,2,-,-,3,2,1,-,-,-
Delany F.,ZAR,3,3,1,19:24,-,-,-,-,-,-,3,4,-1,-,3,1,-,-,-,-,-
Kravic D.,ZAR,3,4,-,13:41,-,3,-,3,-,-,3,8,-,4,-,1,-,1,-,-,-
Perez D.,MAN,3,2,7,18:23,1,5,-,2,1,3,-,-,-13,1,1,4,3,1,-,1,-
Mawugbe S.,MAN,2,1,-,10:57,1,1,1,1,-,-,-,-,6,1,-,3,-,-,-,-,-
Sagnia M.,MAN,1,3,-,07:20,-,3,-,1,-,2,1,2,-4,1,2,2,-,-,-,-,-
Oriola P.,MAN,-,3,-,09:37,-,3,-,2,-,1,-,-,-8,1,2,3,1,2,-,-,-
