Home Score,Category,Away Score
66,Field Goals Attempted,70
34,Field Goals Made,29
51.5%,Field Goals %,41.4%
44,2-Point Field G. Attempted,41
24,2-Point Field Goals Made,19
54.5%,2-Point Field Goals %,46.3%
22,3-Point Field G. Attempted,29
10,3-Point Field Goals Made,10
45.5%,3-Point Field Goals %,34.5%
26,Free Throws Attempted,21
19,Free Throws Made,18
73.1%,Free Throws %,85.7%
11,Offensive Rebounds,13
25,Defensive Rebounds,20
36,Total Rebounds,33
22,Assists,15
3,Blocks,4
14,Turnovers,11
7,Steals,9
22,Personal Fouls,25
