Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Vesely J.,BAR,20,4,2,19:40,9,12,9,11,-,1,2,3,14,2,2,1,1,3,-,1,-
Ennis D.,MUR,16,3,1,26:08,5,14,4,9,1,5,5,6,-16,1,2,3,4,2,-,1,-
Todorovic M.,MUR,15,5,1,21:49,5,12,3,8,2,4,3,3,2,3,2,4,2,-,3,-,-
Sleva D.,MUR,13,4,1,25:40,5,8,4,7,1,1,2,2,-6,4,-,1,-,1,-,1,-
Abrines A.,BAR,12,3,-,19:12,4,6,-,-,4,6,-,-,-,1,2,1,-,-,-,-,-
Sant-Roos H.,MUR,12,2,2,22:24,4,7,3,4,1,3,3,4,-1,-,2,1,-,1,-,1,-
Satoransky T.,BAR,10,2,4,23:40,3,4,2,3,1,1,3,3,19,1,1,2,1,4,-,-,-
Da Silva O.,BAR,9,4,1,23:48,3,6,2,3,1,3,2,2,12,1,3,2,4,-,1,-,-
Rubio R.,BAR,9,2,4,16:35,3,5,2,4,1,1,2,2,-6,-,2,1,1,-,-,-,-
Hakanson L.,MUR,8,1,-,16:13,3,9,1,4,2,5,-,-,6,-,1,1,-,1,-,-,-
Hernangomez W.,BAR,8,3,-,10:32,3,9,3,9,-,-,2,4,-8,2,1,2,-,1,1,1,-
Laprovittola N.,BAR,8,2,7,19:23,2,5,-,1,2,4,2,3,18,1,1,2,-,2,-,-,-
Caupain T.,MUR,7,-,3,22:17,2,5,-,-,2,5,1,2,-13,-,-,3,1,-,-,-,-
Jokubaitis R.,BAR,7,2,1,20:22,2,7,1,4,1,3,2,2,-9,1,1,2,-,3,-,-,-
Nnaji J.,BAR,7,3,-,09:48,3,3,3,3,-,-,1,2,5,1,2,2,-,-,-,-,-
Kurucs R.,MUR,5,1,1,13:24,2,4,1,2,1,2,-,-,-10,-,1,5,1,2,-,-,-
Parker J.,BAR,4,4,-,16:12,2,6,2,5,-,1,-,1,-1,-,4,3,-,-,1,2,-
Radovic N.,MUR,4,6,3,14:22,1,3,1,3,-,-,2,2,-5,1,5,-,-,1,-,-,-
Kalinic N.,BAR,3,2,3,20:48,-,3,-,1,-,2,3,4,11,-,2,4,-,1,-,-,-
Birgander S.,MUR,2,-,1,11:30,-,1,-,1,-,-,2,2,-11,-,-,3,-,1,1,-,-
Diagne M.,MUR,2,3,1,06:24,1,1,1,1,-,-,-,-,-,2,1,2,-,-,-,-,-
Radebaugh J.,MUR,2,3,1,19:49,1,6,1,2,-,4,-,-,-1,1,2,2,1,1,-,-,-
