Home Score,Category,Away Score
63,Field Goals Attempted,70
22,Field Goals Made,30
34.9%,Field Goals %,42.9%
38,2-Point Field G. Attempted,44
19,2-Point Field Goals Made,22
50%,2-Point Field Goals %,50%
25,3-Point Field G. Attempted,26
3,3-Point Field Goals Made,8
12%,3-Point Field Goals %,30.8%
35,Free Throws Attempted,21
25,Free Throws Made,15
71.4%,Free Throws %,71.4%
12,Offensive Rebounds,12
31,Defensive Rebounds,34
43,Total Rebounds,46
19,Assists,15
6,Blocks,6
16,Turnovers,11
5,Steals,5
20,Personal Fouls,26
