Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Cheatham K.,GRA,21,7,1,29:41,8,16,5,12,3,4,2,2,-7,4,3,1,1,2,-,-,-
Davies B.,VAL,18,5,2,28:25,8,13,8,11,-,2,2,2,26,1,4,3,2,1,-,-,-
Jones C.,VAL,18,2,5,27:04,7,12,5,8,2,4,2,2,10,-,2,-,-,3,-,-,-
Ojeleye S.,VAL,17,8,1,29:59,6,14,3,8,3,6,2,3,14,3,5,3,1,5,1,2,-
Costa Martinez L.,GRA,15,3,4,28:30,6,13,4,7,2,6,1,2,-3,-,3,1,2,4,-,1,-
Kramer D.,GRA,12,1,2,23:18,2,8,-,1,2,7,6,6,-3,1,-,2,2,1,-,-,-
Wiley J.,GRA,12,4,1,22:59,6,7,6,6,-,1,-,-,-5,2,2,1,-,-,2,-,-
Lopez-Arostegui X.,VAL,8,4,-,11:02,3,4,2,3,1,1,1,1,8,-,4,3,-,-,-,-,-
Pradilla J.,VAL,7,5,-,17:46,3,5,2,3,1,2,-,-,8,3,2,-,2,1,-,-,-
Claver V.,VAL,6,3,3,20:17,2,2,-,-,2,2,-,-,-5,-,3,1,2,1,-,-,-
Felicio C.,GRA,6,5,2,14:48,3,5,3,5,-,-,-,-,-6,2,3,2,-,1,-,-,-
Harper J.,VAL,5,-,-,07:37,2,4,1,2,1,2,-,-,-7,-,-,2,-,4,-,1,-
Anderson J.,VAL,4,2,4,27:57,1,6,1,2,-,4,2,3,-4,1,1,3,3,-,-,-,-
Dime M.,GRA,4,3,1,12:32,2,4,2,4,-,-,-,-,4,2,1,2,1,2,1,-,-
Valtonen E.,GRA,4,4,2,23:57,2,7,2,2,-,5,-,-,-10,-,4,1,-,1,-,-,-
Puerto J.,VAL,3,-,-,03:12,1,1,-,-,1,1,-,-,-4,-,-,-,-,-,-,-,-
Tomas P.,GRA,3,1,-,09:47,1,3,-,-,1,3,-,-,1,-,1,2,-,1,-,-,-
Diaz Rodriguez C.,GRA,2,-,3,18:27,1,4,1,4,-,-,-,-,-3,-,-,2,-,2,-,-,-
Jovic S.,VAL,2,3,3,16:37,1,2,1,2,-,-,-,2,5,-,3,1,1,1,-,-,-
Rousselle J.,GRA,2,-,1,16:01,-,-,-,-,-,-,2,2,-3,-,-,3,1,2,-,-,-
Kaba A.,VAL,-,1,-,10:04,-,1,-,1,-,-,-,-,-16,1,-,2,-,2,-,-,-
