Home Score,Category,Away Score
67,Field Goals Attempted,65
30,Field Goals Made,25
44.8%,Field Goals %,38.5%
43,2-Point Field G. Attempted,31
25,2-Point Field Goals Made,12
58.1%,2-Point Field Goals %,38.7%
24,3-Point Field G. Attempted,34
5,3-Point Field Goals Made,13
20.8%,3-Point Field Goals %,38.2%
24,Free Throws Attempted,18
18,Free Throws Made,13
75%,Free Throws %,72.2%
11,Offensive Rebounds,12
29,Defensive Rebounds,26
40,Total Rebounds,38
20,Assists,11
1,Blocks,1
17,Turnovers,19
12,Steals,7
22,Personal Fouls,26
