Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Ojeleye S.,VAL,16,5,1,27:49,4,13,3,6,1,7,7,8,-4,1,4,1,1,1,-,-,-
Anderson J.,VAL,14,4,4,23:37,5,10,4,6,1,4,3,3,12,2,2,4,-,2,1,-,-
Evans S.,JOV,12,-,2,20:25,4,12,1,4,3,8,1,1,2,-,-,3,1,5,-,-,-
Lopez-Arostegui X.,VAL,12,4,2,22:45,5,9,5,7,-,2,2,4,-2,2,2,1,2,2,-,-,-
Tomic A.,JOV,12,11,-,26:32,3,12,3,11,-,1,6,8,-12,3,8,2,-,3,-,-,-
Brodziansky V.,JOV,10,5,1,28:08,4,8,2,2,2,6,-,-,1,2,3,3,1,2,-,-,-
Pradilla J.,VAL,10,1,2,17:56,4,5,4,5,-,-,2,2,-8,-,1,2,1,1,-,-,-
Ribas P.,JOV,10,1,2,11:14,3,7,2,3,1,4,3,3,4,-,1,-,1,2,-,-,-
Kraag Y.,JOV,9,6,1,25:06,3,7,2,4,1,3,2,2,1,3,3,2,2,-,1,-,-
Vives G.,JOV,9,3,2,21:48,3,5,-,1,3,4,-,-,-12,-,3,4,-,1,-,1,-
Jones C.,VAL,8,1,4,23:56,3,5,2,3,1,2,1,2,-2,-,1,5,1,2,-,-,-
Inglis D.,VAL,7,6,2,23:28,2,7,2,6,-,1,3,4,6,-,6,4,1,-,-,-,-
Andrews A.,JOV,5,1,3,26:32,2,8,1,3,1,5,-,-,-3,-,1,4,2,5,-,-,-
Claver V.,VAL,5,3,-,16:56,2,2,1,1,1,1,-,-,16,-,3,-,2,2,-,-,-
Puerto J.,VAL,5,4,1,11:51,2,4,1,1,1,3,-,-,11,2,2,-,1,1,-,-,-
Busquets J.,JOV,4,3,-,14:20,1,1,-,-,1,1,1,4,-12,1,2,4,-,-,-,-,-
Jovic S.,VAL,4,2,4,16:04,2,7,2,4,-,3,-,1,9,1,1,2,2,2,-,-,-
Ruzic M.,JOV,3,1,-,12:12,1,4,-,2,1,2,-,-,-11,-,1,2,-,-,-,-,-
Allen M.,JOV,2,1,-,04:19,1,1,1,1,-,-,-,-,-1,-,1,-,-,-,-,-,-
Kaba A.,VAL,2,6,-,09:48,1,3,1,3,-,-,-,-,-4,3,3,2,-,2,-,1,-
Harper J.,VAL,-,-,-,05:50,-,2,-,1,-,1,-,-,1,-,-,1,-,1,-,-,-
Prey R.,JOV,-,3,-,08:38,-,-,-,-,-,-,-,-,8,1,2,2,-,-,-,-,-
