Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Musa D.,REA,26,3,1,25:14,9,12,5,6,4,6,4,4,26,-,3,2,1,-,-,-,-
Poirier V.,REA,16,5,1,21:34,7,10,7,9,-,1,2,2,13,1,4,4,1,1,1,-,-
Llull S.,REA,13,1,1,14:09,4,7,1,2,3,5,2,3,18,-,1,-,2,1,-,-,-
Shurna J.,GRC,12,4,-,24:20,4,8,2,2,2,6,2,2,-20,1,3,-,-,-,-,-,-
Happ E.,GRC,10,2,-,11:18,4,4,4,4,-,-,2,3,-10,-,2,3,1,-,-,-,-
Hezonja M.,REA,10,4,2,18:14,3,8,2,3,1,5,3,3,21,-,4,1,2,2,-,1,-
Yabusele G.,REA,10,4,1,26:39,4,7,3,5,1,2,1,1,20,2,2,1,3,-,-,-,-
Pelos P.,GRC,9,4,2,19:33,4,10,3,5,1,5,-,-,-24,-,4,3,-,1,-,1,-
Salvo M.,GRC,9,4,3,21:07,4,4,3,3,1,1,-,-,-20,1,3,2,3,1,-,-,-
Lammers B.,GRC,8,4,-,15:13,4,7,4,5,-,2,-,-,-10,2,2,2,-,1,1,-,-
Tavares E.,REA,7,3,-,18:26,1,3,1,3,-,-,5,6,22,2,1,1,1,-,-,-,-
Bassas F.,GRC,6,-,5,23:16,2,5,-,2,2,3,-,-,-21,-,-,-,-,2,-,-,-
Ndiaye E. J.,REA,6,2,1,09:07,2,4,1,2,1,2,1,1,7,1,1,-,-,-,1,-,-
Abalde A.,REA,5,4,4,19:32,2,4,1,1,1,3,-,-,17,2,2,4,2,1,-,-,-
Campazzo F.,REA,5,5,7,20:11,2,6,2,5,-,1,1,1,23,1,4,2,-,3,-,-,-
Slaughter A. J.,GRC,5,-,2,15:58,2,8,1,1,1,7,-,-,-17,-,-,1,-,2,-,-,-
Causeur F.,REA,4,3,-,08:11,1,2,1,1,-,1,2,2,5,2,1,-,-,-,-,-,-
Landesberg S.,GRC,4,1,1,08:02,1,3,1,3,-,-,2,2,-4,-,1,1,-,2,-,-,-
Prkacin R.,GRC,4,-,-,09:36,1,2,1,2,-,-,2,2,-6,-,-,1,-,-,-,1,-
Brussino N.,GRC,3,3,1,21:58,1,3,-,2,1,1,-,-,-19,2,1,3,-,4,-,-,-
Rodriguez S.,REA,3,2,5,14:48,1,3,-,-,1,3,-,-,4,-,2,1,-,-,-,-,-
Albicy A.,GRC,-,3,3,16:44,-,3,-,-,-,3,-,-,-14,1,2,3,2,2,-,-,-
Fernandez R.,REA,-,-,-,03:55,-,1,-,-,-,1,-,-,-1,-,-,-,-,-,-,-,-
Kljajic J.,GRC,-,-,1,12:55,-,2,-,-,-,2,-,-,-10,-,-,3,-,-,-,-,-
