Home Score,Category,Away Score
27,Field Goals Attempted,16
9,Field Goals Made,10
33.3%,Field Goals %,62.5%
19,2-Point Field G. Attempted,12
8,2-Point Field Goals Made,7
42.1%,2-Point Field Goals %,58.3%
8,3-Point Field G. Attempted,4
1,3-Point Field Goals Made,3
12.5%,3-Point Field Goals %,75%
7,Free Throws Attempted,6
6,Free Throws Made,4
85.7%,Free Throws %,66.7%
8,Offensive Rebounds,0
7,Defensive Rebounds,6
15,Total Rebounds,6
4,Assists,5
0,Blocks,2
4,Turnovers,4
4,Steals,3
3,Personal Fouls,5
