Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Radebaugh J.,MUR,24,2,3,22:04,8,11,4,5,4,6,4,5,12,1,1,2,2,2,2,-,-
Sleva D.,MUR,23,7,1,34:21,8,11,4,4,4,7,3,5,10,2,5,2,-,-,-,-,-
Davies B.,VAL,19,10,3,22:49,8,12,7,9,1,3,2,2,-11,4,6,4,1,3,1,-,-
Ojeleye S.,VAL,17,5,-,27:56,6,16,4,10,2,6,3,3,-5,5,-,1,-,1,-,1,-
Jones C.,VAL,12,3,8,26:26,4,9,3,6,1,3,3,3,-3,-,3,-,-,1,-,-,-
Diagne M.,MUR,11,11,-,21:53,4,5,4,5,-,-,3,4,-2,2,9,3,-,2,1,-,-
Kurucs R.,MUR,10,4,1,21:52,4,6,2,4,2,2,-,-,11,-,4,1,1,6,-,-,-
Jovic S.,VAL,9,2,1,18:01,3,7,2,5,1,2,2,3,-8,1,1,2,2,-,-,1,-
Lopez-Arostegui X.,VAL,9,2,1,19:47,1,6,1,3,-,3,7,10,-12,1,1,2,3,1,-,-,-
Ennis D.,MUR,8,2,2,17:56,3,8,3,6,-,2,2,2,-2,2,-,3,1,1,-,-,-
Inglis D.,VAL,8,3,-,20:00,4,11,4,11,-,-,-,-,2,2,1,2,-,2,-,-,-
Pradilla J.,VAL,8,7,1,20:28,4,7,4,6,-,1,-,3,-1,3,4,3,3,-,-,1,-
Sant-Roos H.,MUR,6,4,5,19:26,2,7,2,3,-,4,2,2,1,-,4,-,1,3,-,-,-
Caupain T.,MUR,5,1,5,22:58,2,7,2,4,-,3,1,2,7,-,1,4,2,1,-,1,-
Anderson J.,VAL,4,2,-,24:12,1,4,-,-,1,4,1,2,6,-,2,1,1,3,-,-,-
Hakanson L.,MUR,4,1,2,16:37,2,5,2,3,-,2,-,-,1,-,1,3,1,1,-,-,-
Flores F.,MUR,3,4,-,16:49,1,1,1,1,-,-,1,2,12,2,2,1,-,-,1,-,-
Radovic N.,MUR,2,3,1,06:04,1,2,1,2,-,-,-,-,-,-,3,1,-,-,-,-,-
Claver V.,VAL,-,2,1,11:37,-,4,-,1,-,3,-,-,-10,1,1,3,1,-,-,1,-
Harper J.,VAL,-,-,-,05:06,-,3,-,-,-,3,-,-,-4,-,-,-,-,-,-,-,-
Puerto J.,VAL,-,-,-,03:38,-,-,-,-,-,-,-,-,-4,-,-,-,-,-,-,-,-
