Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Todorovic M.,MUR,19,10,3,31:11,6,10,5,8,1,2,6,8,7,4,6,3,1,2,1,-,-
Ojeleye S.,VAL,16,4,1,29:48,5,6,2,2,3,4,3,4,-1,2,2,-,2,1,-,-,-
Claver V.,VAL,15,1,-,17:31,5,6,2,2,3,4,2,2,-3,-,1,3,1,1,-,-,-
Caupain T.,MUR,14,5,3,31:00,5,6,1,1,4,5,-,-,12,1,4,4,-,2,-,-,-
Lopez-Arostegui X.,VAL,14,4,2,26:23,6,9,5,6,1,3,1,1,-,-,4,2,-,1,1,-,-
Ennis D.,MUR,13,5,3,31:03,5,18,5,13,-,5,3,4,-1,1,4,2,1,-,-,1,-
Sleva D.,MUR,11,4,-,17:16,3,6,3,5,-,1,5,5,1,3,1,4,2,1,-,-,-
Kurucs R.,MUR,10,3,2,32:49,4,7,3,4,1,3,1,2,5,-,3,3,1,4,-,-,-
Radebaugh J.,MUR,10,2,4,29:43,4,11,2,3,2,8,-,-,4,-,2,3,1,2,-,1,-
Jones C.,VAL,9,1,3,24:15,3,8,2,6,1,2,2,2,-2,-,1,-,1,2,-,1,-
Robertson K.,VAL,8,3,-,23:23,2,5,1,3,1,2,3,3,11,-,3,3,1,1,-,1,-
Anderson J.,VAL,6,2,2,16:06,2,4,-,2,2,2,-,-,-1,1,1,4,1,-,-,-,-
Inglis D.,VAL,6,3,3,18:23,3,8,3,8,-,-,-,-,-8,-,3,2,-,2,1,-,-
Pangos K.,VAL,5,2,5,17:05,2,4,1,3,1,1,-,-,3,-,2,2,-,1,-,-,-
Radovic N.,MUR,5,2,-,08:40,2,5,1,3,1,2,-,-,-14,2,-,1,-,1,-,-,-
Reuvers N.,VAL,4,1,1,06:06,1,5,1,1,-,4,2,2,-4,-,1,1,-,-,-,-,-
Diagne M.,MUR,-,2,-,07:06,-,-,-,-,-,-,-,-,-6,1,1,-,-,-,1,-,-
Hakanson L.,MUR,-,-,-,07:26,-,3,-,2,-,1,-,-,-8,-,-,-,-,-,-,-,-
Kurucs A.,MUR,-,-,-,03:46,-,-,-,-,-,-,-,-,-5,-,-,1,-,-,-,-,-
Pradilla J.,VAL,-,3,2,10:38,-,2,-,-,-,2,-,-,6,1,2,3,1,1,-,-,-
Puerto J.,VAL,-,1,-,10:22,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,-
