Home Score,Category,Away Score
22,Field Goals Attempted,26
11,Field Goals Made,9
50%,Field Goals %,34.6%
9,2-Point Field G. Attempted,15
7,2-Point Field Goals Made,5
77.8%,2-Point Field Goals %,33.3%
13,3-Point Field G. Attempted,11
4,3-Point Field Goals Made,4
30.8%,3-Point Field Goals %,36.4%
8,Free Throws Attempted,13
7,Free Throws Made,9
87.5%,Free Throws %,69.2%
1,Offensive Rebounds,7
11,Defensive Rebounds,11
12,Total Rebounds,18
6,Assists,11
1,Blocks,0
7,Turnovers,8
3,Steals,4
9,Personal Fouls,7
