Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Howard M.,BAS,30,2,1,24:30,9,18,3,6,6,12,6,7,7,-,2,3,-,3,-,-,-
Susinskas M.,BAS,22,8,3,31:30,8,12,5,7,3,5,3,4,12,4,4,3,-,-,-,-,-
Birch K.,BAS,21,14,-,29:59,7,11,7,11,-,-,7,8,3,3,11,2,-,2,-,-,-
Marinkovic V.,BAS,15,-,2,30:30,5,9,3,3,2,6,3,3,1,-,-,3,2,1,-,-,-
York G.,BAS,15,4,3,25:50,5,11,1,3,4,8,1,1,-7,-,4,2,2,2,-,-,-
Sedekerskis T.,BAS,14,9,1,34:55,4,7,2,3,2,4,4,4,1,2,7,3,-,-,-,-,-
Iroegbu I.,BAS,13,-,7,23:46,3,13,2,5,1,8,6,7,7,-,-,3,-,3,-,1,-
Marcos J.,BAS,9,4,4,28:59,2,5,2,3,-,2,5,5,5,2,2,3,5,2,-,-,-
Miller-McIntyre C.,BAS,8,4,3,20:47,3,6,3,4,-,2,2,4,-9,-,4,2,-,7,-,-,-
Rogkavopoulos N.,BAS,8,-,2,22:05,2,4,1,1,1,3,3,4,-10,-,-,3,1,1,-,-,-
Chiozza C.,BAS,7,3,5,19:10,2,4,1,2,1,2,2,2,6,-,3,2,2,1,-,-,-
Fjellerup M.,BAS,7,3,1,14:42,3,7,2,6,1,1,-,-,8,2,1,4,1,-,-,-,-
Martinez S.,BAS,6,2,1,20:58,2,7,-,3,2,4,-,-,-6,-,2,3,1,2,-,-,-
Costello M.,BAS,4,7,2,23:05,1,6,-,1,1,5,1,2,7,1,6,4,-,-,1,-,-
Kotsar M.,BAS,4,1,2,16:52,2,4,2,4,-,-,-,-,-10,-,1,1,-,-,1,-,-
Raieste S.,BAS,2,-,-,06:22,-,1,-,-,-,1,2,2,-3,-,-,2,-,-,-,-,-
Goloman G.,BAS,1,-,-,09:58,-,2,-,2,-,-,1,4,-,-,-,1,1,-,-,1,-
Vila Martinez E.,BAS,1,2,1,08:27,-,-,-,-,-,-,1,2,-9,2,-,2,-,1,-,-,-
Colom Q.,BAS,-,2,2,05:36,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-
Diez D.,BAS,-,-,-,01:29,-,-,-,-,-,-,-,-,-5,-,-,-,-,-,-,-,-
