Home Score,Category,Away Score
21,Field Goals Attempted,23
6,Field Goals Made,10
28.6%,Field Goals %,43.5%
14,2-Point Field G. Attempted,15
4,2-Point Field Goals Made,9
28.6%,2-Point Field Goals %,60%
7,3-Point Field G. Attempted,8
2,3-Point Field Goals Made,1
28.6%,3-Point Field Goals %,12.5%
7,Free Throws Attempted,13
6,Free Throws Made,9
85.7%,Free Throws %,69.2%
2,Offensive Rebounds,5
7,Defensive Rebounds,12
9,Total Rebounds,17
3,Assists,5
1,Blocks,4
7,Turnovers,5
2,Steals,0
11,Personal Fouls,6
