Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Happ E.,GRC,21,6,2,35:07,9,13,9,12,-,1,3,5,12,2,4,3,1,5,2,1,-
Brussino N.,GRC,17,5,6,38:24,6,17,5,10,1,7,4,5,15,2,3,2,-,1,-,2,-
Kljajic J.,GRC,15,1,-,29:42,5,9,3,5,2,4,3,3,19,1,-,2,1,1,2,-,-
Fernandez J.,BRE,14,7,-,22:02,6,8,5,7,1,1,1,4,1,1,6,5,3,3,1,1,-
Polite A.,BRE,14,2,2,26:44,4,10,2,6,2,4,4,5,15,2,-,1,2,-,1,1,-
McLemore B.,BRE,13,-,1,16:37,3,5,1,2,2,3,5,8,-12,-,-,3,-,3,1,-,-
Shurna J.,GRC,10,4,-,25:42,4,7,2,3,2,4,-,-,1,2,2,1,3,-,-,-,-
Sakho J.,BRE,8,5,1,22:58,3,5,3,5,-,-,2,2,-8,3,2,4,1,4,1,-,-
Robinson J.,BRE,7,-,3,18:08,3,6,2,4,1,2,-,-,-3,-,-,3,-,2,-,-,-
Momirov S.,BRE,6,6,3,34:20,3,7,3,4,-,3,-,-,-8,1,5,2,1,-,-,1,-
Pelos P.,GRC,6,7,1,19:34,3,6,3,4,-,2,-,-,9,2,5,3,-,-,1,1,-
Quintela S.,BRE,6,2,-,25:03,3,8,3,7,-,1,-,-,17,-,2,1,1,-,-,1,-
Albicy A.,GRC,3,7,3,42:48,-,5,-,2,-,3,3,4,11,2,5,2,-,5,-,-,-
Landesberg S.,GRC,3,1,-,12:30,1,4,1,3,-,1,1,1,-14,-,1,1,-,-,-,-,-
Garcia S.,BRE,2,2,1,26:52,1,8,1,2,-,6,-,-,-4,-,2,3,2,2,-,1,-
Gegic A.,GRC,2,-,-,06:08,1,3,1,2,-,1,-,-,-4,-,-,-,-,-,-,-,-
Jogela M.,BRE,-,-,2,14:00,-,2,-,-,-,2,-,-,-11,-,-,2,-,-,-,-,-
Lammers B.,GRC,-,1,-,05:10,-,-,-,-,-,-,-,-,-2,-,1,3,-,2,1,-,-
Nakic T.,BRE,-,1,-,18:16,-,2,-,1,-,1,-,-,-22,1,-,-,-,1,-,1,-
Prkacin R.,GRC,-,2,-,02:51,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-
Salvo M.,GRC,-,3,-,07:04,-,1,-,-,-,1,-,-,-13,-,3,3,-,3,-,-,-
