Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Pasecniks A.,PAL,15,2,-,21:55,7,11,7,11,-,-,1,2,2,2,-,2,1,4,3,-,-
Fernandez J.,BRE,10,3,1,18:03,4,6,4,4,-,2,2,3,2,1,2,3,-,1,1,1,-
Momirov S.,BRE,10,-,1,26:27,4,6,2,2,2,4,-,-,15,-,-,1,1,1,-,-,-
Benite V.,PAL,9,3,1,18:52,3,7,2,2,1,5,2,2,1,-,3,2,-,2,-,-,-
Nakic T.,BRE,9,2,-,18:03,4,7,3,3,1,4,-,-,1,-,2,3,2,2,-,-,-
McLemore B.,BRE,7,4,2,21:39,3,13,2,9,1,4,-,1,5,1,3,1,3,2,-,3,-
Kamba M.,PAL,6,2,-,20:37,2,3,-,-,2,3,-,-,-1,-,2,1,1,1,1,-,-
Garcia S.,BRE,5,5,5,23:40,1,4,-,-,1,4,2,2,-,-,5,1,-,1,-,-,-
Hands J.,PAL,5,1,1,17:42,2,6,1,2,1,4,-,-,-14,-,1,1,2,1,-,-,-
Robinson J.,BRE,5,2,1,13:19,1,3,1,2,-,1,3,4,-2,-,2,-,1,-,-,1,-
Pineiro I.,PAL,4,2,-,15:47,2,5,2,4,-,1,-,-,-1,-,2,2,-,-,-,-,-
Polite A.,BRE,4,5,-,14:56,1,3,1,2,-,1,2,2,4,1,4,2,2,2,-,-,-
Sakho J.,BRE,4,10,1,14:56,1,8,1,8,-,-,2,4,3,7,3,1,-,-,1,1,-
Van Der Vuurst K.,PAL,4,3,8,24:15,1,5,1,3,-,2,2,2,-2,-,3,3,-,3,-,2,-
Haarms M.,PAL,3,3,1,11:04,1,2,1,2,-,-,1,2,-7,1,2,3,-,1,3,-,-
Ortega C.,PAL,3,4,-,16:39,1,2,-,-,1,2,-,-,5,-,4,3,-,2,-,-,-
Frankamp C.,PAL,-,2,1,13:15,-,4,-,4,-,-,-,-,-7,-,2,2,-,1,-,-,-
Jogela M.,BRE,-,1,-,04:33,-,3,-,2,-,1,-,-,-8,1,-,-,-,1,-,1,-
Quintela S.,BRE,-,2,1,09:19,-,2,-,-,-,2,-,-,5,-,2,3,-,-,-,-,-
Ubal A.,PAL,-,1,1,04:49,-,1,-,1,-,-,-,-,-1,-,1,-,-,-,-,-,-
