Home Score,Category,Away Score
60,Field Goals Attempted,54
20,Field Goals Made,24
33.3%,Field Goals %,44.4%
31,2-Point Field G. Attempted,28
15,2-Point Field Goals Made,15
48.4%,2-Point Field Goals %,53.6%
29,3-Point Field G. Attempted,26
5,3-Point Field Goals Made,9
17.2%,3-Point Field Goals %,34.6%
29,Free Throws Attempted,25
23,Free Throws Made,23
79.3%,Free Throws %,92%
13,Offensive Rebounds,7
21,Defensive Rebounds,26
34,Total Rebounds,33
16,Assists,16
2,Blocks,8
12,Turnovers,13
7,Steals,7
24,Personal Fouls,26
